id,urgencia,cliente,tipo_servico,origem,tempo_espera,descricao,status
1,Média,Cliente G,Telefone,Telefone,36,Queda de sinal,Em andamento
2,Crítica,Cliente D,Internet,Autoatendimento,182,Erro de cobrança,Aberto
3,Alta,Cliente B,Internet,Telefone,31,Mudança de endereço,Resolvido
4,Média,Cliente E,Internet,Autoatendimento,104,Reclamação atendimento,Em andamento
5,Baixa,Cliente K,Internet,WhatsApp,113,Reclamação atendimento,Aberto
6,Baixa,Cliente K,Internet,Autoatendimento,50,Instabilidade,Aberto
7,Baixa,Cliente C,Internet,Email,95,Mudança de endereço,Aberto
8,Alta,Cliente I,Nuvem,WhatsApp,84,Solicitação de reembolso,Em andamento
9,Média,Cliente F,Internet,Email,181,Solicitação de reembolso,Resolvido
10,Alta,Cliente A,Internet,Email,131,Queda de sinal,Aberto
11,Baixa,Cliente C,Internet,Autoatendimento,188,Mudança de endereço,Resolvido
12,Crítica,Cliente L,Telefone,Autoatendimento,166,Queda de sinal,Resolvido
13,Alta,Cliente D,Telefone,Telefone,30,Queda de sinal,Aberto
14,Baixa,Cliente I,Internet,App,159,Falha total,Resolvido
15,Baixa,Cliente K,Telefone,WhatsApp,119,Reclamação atendimento,Resolvido
16,Baixa,Cliente F,TV,Email,23,Mudança de endereço,Resolvido
17,Média,Cliente D,Internet,App,103,Solicitação de upgrade,Resolvido
18,Média,Cliente A,Telefone,App,20,Solicitação de reembolso,Em andamento
19,Média,Cliente H,Telefone,WhatsApp,68,Queda de sinal,Aberto
20,Média,Cliente K,Internet,WhatsApp,87,Mudança de endereço,Resolvido
21,Média,Cliente B,TV,App,19,Reclamação atendimento,Aberto
22,Baixa,Cliente K,Nuvem,Email,110,Falha total,Aberto
23,Média,Cliente K,Telefone,WhatsApp,194,Lentidão,Resolvido
24,Média,Cliente H,Internet,WhatsApp,114,Lentidão,Resolvido
25,Média,Cliente F,Data Center,WhatsApp,134,Lentidão,Em andamento
26,Alta,Cliente H,Telefone,Telefone,140,Mudança de endereço,Aberto
27,Baixa,Cliente F,Internet,App,59,Erro de cobrança,Aberto
28,Média,Cliente E,Internet,WhatsApp,19,Mudança de endereço,Aberto
29,Média,Cliente E,TV,Autoatendimento,73,Mudança de endereço,Resolvido
30,Baixa,Cliente J,Nuvem,Autoatendimento,94,Instabilidade,Resolvido
31,Média,Cliente J,Internet,App,185,Reclamação atendimento,Resolvido
32,Baixa,Cliente K,Internet,WhatsApp,151,Reclamação atendimento,Aberto
33,Baixa,Cliente H,Telefone,Telefone,57,Mudança de endereço,Resolvido
34,Crítica,Cliente G,Data Center,Autoatendimento,195,Instabilidade,Resolvido
35,Crítica,Cliente H,Internet,WhatsApp,24,Problema recorrente,Resolvido
36,Alta,Cliente L,Nuvem,Autoatendimento,17,Solicitação de upgrade,Resolvido
37,Média,Cliente H,Telefone,Telefone,45,Erro de cobrança,Em andamento
38,Baixa,Cliente G,TV,WhatsApp,73,Problema recorrente,Resolvido
39,Alta,Cliente B,Telefone,WhatsApp,197,Mudança de endereço,Aberto
40,Média,Cliente K,Internet,App,15,Instabilidade,Resolvido
41,Baixa,Cliente I,TV,Autoatendimento,138,Erro de cobrança,Resolvido
42,Média,Cliente G,Nuvem,Telefone,76,Solicitação de reembolso,Resolvido
43,Baixa,Cliente L,Internet,Autoatendimento,109,Instabilidade,Resolvido
44,Crítica,Cliente K,Telefone,Autoatendimento,145,Lentidão,Resolvido
45,Baixa,Cliente F,Internet,Autoatendimento,142,Solicitação de upgrade,Resolvido
46,Média,Cliente I,Internet,Email,37,Problema recorrente,Aberto
47,Média,Cliente A,TV,Telefone,45,Instabilidade,Resolvido
48,Média,Cliente K,Internet,App,101,Reclamação atendimento,Resolvido
49,Média,Cliente B,TV,Autoatendimento,82,Queda de sinal,Resolvido
50,Baixa,Cliente A,Internet,WhatsApp,15,Solicitação de upgrade,Aberto
51,Crítica,Cliente J,Data Center,App,94,Instabilidade,Resolvido
52,Alta,Cliente L,Internet,Autoatendimento,18,Solicitação de reembolso,Em andamento
53,Crítica,Cliente C,Internet,Telefone,194,Mudança de endereço,Resolvido
54,Crítica,Cliente K,Internet,WhatsApp,98,Mudança de endereço,Resolvido
55,Média,Cliente E,Nuvem,WhatsApp,127,Solicitação de upgrade,Resolvido
56,Crítica,Cliente A,Internet,WhatsApp,55,Queda de sinal,Resolvido
57,Baixa,Cliente D,Internet,Telefone,127,Reclamação atendimento,Aberto
58,Baixa,Cliente H,Nuvem,Email,131,Instabilidade,Resolvido
59,Baixa,Cliente F,Nuvem,WhatsApp,146,Reclamação atendimento,Resolvido
60,Média,Cliente A,Nuvem,Autoatendimento,24,Mudança de endereço,Aberto
61,Média,Cliente L,Internet,App,130,Instabilidade,Em andamento
62,Baixa,Cliente A,Internet,WhatsApp,13,Mudança de endereço,Resolvido
63,Alta,Cliente C,TV,WhatsApp,142,Solicitação de reembolso,Aberto
64,Média,Cliente J,Telefone,App,13,Reclamação atendimento,Aberto
65,Média,Cliente H,Internet,WhatsApp,58,Queda de sinal,Resolvido
66,Média,Cliente K,Internet,Autoatendimento,87,Solicitação de upgrade,Resolvido
67,Baixa,Cliente K,Data Center,Telefone,19,Mudança de endereço,Aberto
68,Alta,Cliente H,Internet,Email,104,Solicitação de reembolso,Resolvido
69,Baixa,Cliente C,TV,WhatsApp,84,Solicitação de reembolso,Resolvido
70,Crítica,Cliente G,Telefone,App,95,Reclamação atendimento,Resolvido
71,Alta,Cliente L,TV,Autoatendimento,144,Solicitação de reembolso,Em andamento
72,Baixa,Cliente C,TV,Telefone,168,Solicitação de upgrade,Em andamento
73,Baixa,Cliente D,Internet,WhatsApp,79,Queda de sinal,Em andamento
74,Alta,Cliente I,Internet,WhatsApp,74,Lentidão,Resolvido
75,Alta,Cliente D,TV,Telefone,198,Lentidão,Em andamento
76,Alta,Cliente C,Internet,Email,162,Solicitação de reembolso,Aberto
77,Alta,Cliente E,TV,Autoatendimento,177,Mudança de endereço,Aberto
78,Baixa,Cliente G,TV,Autoatendimento,134,Falha total,Em andamento
79,Média,Cliente E,Telefone,App,89,Queda de sinal,Resolvido
80,Baixa,Cliente D,Internet,Telefone,9,Mudança de endereço,Resolvido
81,Alta,Cliente H,Internet,App,148,Mudança de endereço,Resolvido
82,Média,Cliente D,TV,Telefone,181,Falha total,Aberto
83,Média,Cliente B,Internet,Autoatendimento,13,Instabilidade,Resolvido
84,Baixa,Cliente J,Data Center,Email,73,Lentidão,Resolvido
85,Média,Cliente F,Data Center,Email,137,Erro de cobrança,Resolvido
86,Média,Cliente B,Internet,Telefone,56,Queda de sinal,Em andamento
87,Alta,Cliente C,Internet,Autoatendimento,123,Instabilidade,Resolvido
88,Média,Cliente A,Internet,WhatsApp,94,Falha total,Em andamento
89,Alta,Cliente E,Data Center,Autoatendimento,163,Erro de cobrança,Aberto
90,Média,Cliente I,Internet,App,83,Queda de sinal,Aberto
91,Baixa,Cliente B,Internet,Telefone,194,Problema recorrente,Aberto
92,Alta,Cliente L,TV,App,48,Falha total,Em andamento
93,Alta,Cliente G,Internet,Telefone,109,Queda de sinal,Resolvido
94,Média,Cliente E,Internet,WhatsApp,36,Problema recorrente,Aberto
95,Alta,Cliente B,Internet,Email,161,Instabilidade,Em andamento
96,Média,Cliente H,Telefone,Autoatendimento,180,Problema recorrente,Em andamento
97,Média,Cliente K,Internet,Email,107,Falha total,Resolvido
98,Média,Cliente F,Telefone,Autoatendimento,135,Lentidão,Aberto
99,Baixa,Cliente D,Nuvem,Telefone,138,Falha total,Resolvido
100,Baixa,Cliente D,Telefone,Telefone,41,Reclamação atendimento,Em andamento
101,Baixa,Cliente B,TV,App,177,Solicitação de upgrade,Aberto
102,Média,Cliente C,Internet,Autoatendimento,97,Instabilidade,Resolvido
103,Média,Cliente G,Internet,WhatsApp,155,Solicitação de upgrade,Aberto
104,Média,Cliente C,Internet,WhatsApp,83,Mudança de endereço,Resolvido
105,Crítica,Cliente E,Telefone,Telefone,38,Instabilidade,Resolvido
106,Baixa,Cliente J,Internet,Telefone,181,Queda de sinal,Resolvido
107,Média,Cliente F,Internet,Telefone,141,Erro de cobrança,Aberto
108,Alta,Cliente F,Internet,Autoatendimento,167,Mudança de endereço,Resolvido
109,Baixa,Cliente D,Internet,Telefone,197,Queda de sinal,Resolvido
110,Baixa,Cliente F,Telefone,Email,17,Mudança de endereço,Em andamento
111,Média,Cliente C,Telefone,App,190,Reclamação atendimento,Aberto
112,Baixa,Cliente G,Internet,Telefone,25,Falha total,Aberto
113,Crítica,Cliente G,TV,WhatsApp,146,Instabilidade,Aberto
114,Alta,Cliente D,Telefone,Autoatendimento,116,Lentidão,Resolvido
115,Média,Cliente B,Telefone,WhatsApp,96,Reclamação atendimento,Resolvido
116,Alta,Cliente K,Nuvem,App,5,Instabilidade,Em andamento
117,Alta,Cliente G,Internet,Telefone,51,Lentidão,Aberto
118,Baixa,Cliente C,Internet,WhatsApp,109,Mudança de endereço,Aberto
119,Crítica,Cliente A,Telefone,Email,103,Problema recorrente,Em andamento
120,Média,Cliente B,Data Center,WhatsApp,132,Solicitação de upgrade,Aberto
121,Alta,Cliente J,Telefone,Telefone,9,Lentidão,Aberto
122,Crítica,Cliente I,Nuvem,Autoatendimento,13,Falha total,Aberto
123,Média,Cliente L,TV,Telefone,164,Mudança de endereço,Resolvido
124,Baixa,Cliente H,Telefone,Telefone,67,Falha total,Resolvido
125,Baixa,Cliente F,Telefone,WhatsApp,182,Erro de cobrança,Resolvido
126,Média,Cliente F,Internet,Telefone,94,Instabilidade,Resolvido
127,Alta,Cliente A,Telefone,App,162,Problema recorrente,Aberto
128,Alta,Cliente B,Telefone,Autoatendimento,115,Lentidão,Resolvido
129,Baixa,Cliente D,TV,Telefone,19,Solicitação de upgrade,Aberto
130,Média,Cliente C,Internet,WhatsApp,105,Lentidão,Resolvido
131,Média,Cliente A,Internet,Autoatendimento,187,Falha total,Aberto
132,Baixa,Cliente H,TV,WhatsApp,87,Problema recorrente,Aberto
133,Baixa,Cliente G,TV,Telefone,94,Lentidão,Em andamento
134,Média,Cliente D,Data Center,Autoatendimento,46,Mudança de endereço,Aberto
135,Crítica,Cliente L,Internet,Autoatendimento,144,Erro de cobrança,Aberto
136,Média,Cliente L,Internet,Telefone,144,Problema recorrente,Aberto
137,Média,Cliente I,Internet,App,46,Instabilidade,Resolvido
138,Alta,Cliente K,TV,Autoatendimento,197,Problema recorrente,Aberto
139,Média,Cliente D,Internet,App,101,Solicitação de upgrade,Em andamento
140,Crítica,Cliente A,Nuvem,Telefone,198,Mudança de endereço,Resolvido
141,Crítica,Cliente J,Internet,WhatsApp,196,Lentidão,Aberto
142,Baixa,Cliente A,Nuvem,Telefone,63,Queda de sinal,Resolvido
143,Média,Cliente A,TV,App,85,Lentidão,Resolvido
144,Média,Cliente A,Nuvem,Email,173,Falha total,Resolvido
145,Média,Cliente D,Internet,App,21,Falha total,Em andamento
146,Baixa,Cliente A,Telefone,Email,168,Reclamação atendimento,Em andamento
147,Média,Cliente B,Internet,Telefone,40,Erro de cobrança,Resolvido
148,Média,Cliente D,Internet,App,130,Lentidão,Aberto
149,Baixa,Cliente G,Internet,App,109,Instabilidade,Aberto
150,Baixa,Cliente B,TV,Autoatendimento,68,Solicitação de reembolso,Aberto
151,Crítica,Cliente H,Internet,App,48,Solicitação de reembolso,Resolvido
152,Baixa,Cliente G,Nuvem,WhatsApp,119,Instabilidade,Aberto
153,Baixa,Cliente I,Internet,App,55,Problema recorrente,Resolvido
154,Média,Cliente F,Internet,App,149,Mudança de endereço,Aberto
155,Crítica,Cliente D,Internet,App,138,Reclamação atendimento,Resolvido
156,Baixa,Cliente F,TV,App,96,Reclamação atendimento,Em andamento
157,Alta,Cliente D,Internet,Autoatendimento,29,Problema recorrente,Aberto
158,Alta,Cliente G,Nuvem,Autoatendimento,65,Queda de sinal,Aberto
159,Baixa,Cliente I,Telefone,Autoatendimento,36,Solicitação de reembolso,Aberto
160,Alta,Cliente C,Data Center,Autoatendimento,41,Reclamação atendimento,Aberto
161,Média,Cliente C,Internet,Telefone,126,Solicitação de upgrade,Em andamento
162,Média,Cliente B,Telefone,WhatsApp,103,Lentidão,Resolvido
163,Média,Cliente A,TV,Telefone,3,Reclamação atendimento,Resolvido
