id,urgencia,cliente,tipo_servico,origem,tempo_espera,descricao,status,peso_urgencia,peso_origem,tempo_espera_norm,score_priorizacao
1,Média,Cliente G,Telefone,Telefone,36,Queda de sinal,Em andamento,2,2.0,0.17258883248730963,11.51776649746193
2,Crítica,Cliente D,Internet,Autoatendimento,182,Erro de cobrança,Aberto,8,1.0,0.9137055837563451,38.24111675126903
3,Alta,Cliente B,Internet,Telefone,31,Mudança de endereço,Resolvido,4,2.0,0.14720812182741116,19.441624365482234
4,Média,Cliente E,Internet,Autoatendimento,104,Reclamação atendimento,Em andamento,2,1.0,0.5177664974619289,11.053299492385786
5,Baixa,Cliente K,Internet,WhatsApp,113,Reclamação atendimento,Aberto,1,2.5,0.5634517766497462,11.440355329949238
6,Baixa,Cliente K,Internet,Autoatendimento,50,Instabilidade,Aberto,1,1.0,0.2436548223350254,8.230964467005077
7,Baixa,Cliente C,Internet,Email,95,Mudança de endereço,Aberto,1,1.5,0.4720812182741117,9.666243654822335
8,Alta,Cliente I,Nuvem,WhatsApp,84,Solicitação de reembolso,Em andamento,4,2.5,0.41624365482233505,20.998730964467004
9,Média,Cliente F,Internet,Email,181,Solicitação de reembolso,Resolvido,2,1.5,0.9086294416243654,12.975888324873097
10,Alta,Cliente A,Internet,Email,131,Queda de sinal,Aberto,4,1.5,0.6548223350253807,22.21446700507614
11,Baixa,Cliente C,Internet,Autoatendimento,188,Mudança de endereço,Resolvido,1,1.0,0.9441624365482234,8.33248730964467
12,Crítica,Cliente L,Telefone,Autoatendimento,166,Queda de sinal,Resolvido,8,1.0,0.8324873096446701,35.99746192893401
13,Alta,Cliente D,Telefone,Telefone,30,Queda de sinal,Aberto,4,2.0,0.14213197969543148,21.426395939086294
14,Baixa,Cliente I,Internet,App,159,Falha total,Resolvido,1,2.0,0.7969543147208121,9.390862944162436
15,Baixa,Cliente K,Telefone,WhatsApp,119,Reclamação atendimento,Resolvido,1,2.5,0.5939086294416244,9.531725888324873
16,Baixa,Cliente F,TV,Email,23,Mudança de endereço,Resolvido,1,1.5,0.1065989847715736,6.569796954314721
17,Média,Cliente D,Internet,App,103,Solicitação de upgrade,Resolvido,2,2.0,0.5126903553299492,12.538071065989847
18,Média,Cliente A,Telefone,App,20,Solicitação de reembolso,Em andamento,2,2.0,0.09137055837563451,11.274111675126903
19,Média,Cliente H,Telefone,WhatsApp,68,Queda de sinal,Aberto,2,2.5,0.3350253807106599,14.75507614213198
20,Média,Cliente K,Internet,WhatsApp,87,Mudança de endereço,Resolvido,2,2.5,0.43147208121827413,13.044416243654823
21,Média,Cliente B,TV,App,19,Reclamação atendimento,Aberto,2,2.0,0.08629441624365482,13.258883248730964
22,Baixa,Cliente K,Nuvem,Email,110,Falha total,Aberto,1,1.5,0.5482233502538071,9.894670050761421
23,Média,Cliente K,Telefone,WhatsApp,194,Lentidão,Resolvido,2,2.5,0.9746192893401016,14.673857868020304
24,Média,Cliente H,Internet,WhatsApp,114,Lentidão,Resolvido,2,2.5,0.5685279187817259,13.455583756345177
25,Média,Cliente F,Data Center,WhatsApp,134,Lentidão,Em andamento,2,2.5,0.6700507614213198,13.76015228426396
26,Alta,Cliente H,Telefone,Telefone,140,Mudança de endereço,Aberto,4,2.0,0.700507614213198,23.101522842639593
27,Baixa,Cliente F,Internet,App,59,Erro de cobrança,Aberto,1,2.0,0.2893401015228426,9.868020304568528
28,Média,Cliente E,Internet,WhatsApp,19,Mudança de endereço,Aberto,2,2.5,0.08629441624365482,14.008883248730964
29,Média,Cliente E,TV,Autoatendimento,73,Mudança de endereço,Resolvido,2,1.0,0.3604060913705584,10.581218274111675
30,Baixa,Cliente J,Nuvem,Autoatendimento,94,Instabilidade,Resolvido,1,1.0,0.467005076142132,6.901015228426396
31,Média,Cliente J,Internet,App,185,Reclamação atendimento,Resolvido,2,2.0,0.9289340101522843,13.786802030456853
32,Baixa,Cliente K,Internet,WhatsApp,151,Reclamação atendimento,Aberto,1,2.5,0.7563451776649747,12.019035532994923
33,Baixa,Cliente H,Telefone,Telefone,57,Mudança de endereço,Resolvido,1,2.0,0.27918781725888325,7.837563451776649
34,Crítica,Cliente G,Data Center,Autoatendimento,195,Instabilidade,Resolvido,8,1.0,0.9796954314720813,36.43908629441624
35,Crítica,Cliente H,Internet,WhatsApp,24,Problema recorrente,Resolvido,8,2.5,0.1116751269035533,36.08502538071066
